Sector_LB,Sector_UB,Sigma_Max,ESG_Min,L_Min,Optimization_Successful,Message,Optimal_Weights,Portfolio_Return,Portfolio_Risk,Sharpe_Ratio
0.1,0.2,0.11,50,280000,True,,"[0.1        0.12466146 0.15347418 0.18173592 0.15502392 0.15410845
 0.00976598 0.07533854 0.04589155 0.        ]",0.12571493387131258,0.10920086235904687,1.1490061607492361
0.1,0.2,0.11,50,360000,True,,"[0.1        0.12466146 0.15347418 0.18173592 0.15502392 0.15410845
 0.00976598 0.07533854 0.04589155 0.        ]",0.12571493387131258,0.10920086235904687,1.1490061607492361
0.1,0.2,0.11,50,440000,True,,"[0.1        0.12466146 0.15347418 0.18173592 0.15502392 0.15410845
 0.00976598 0.07533854 0.04589155 0.        ]",0.12571493387131258,0.10920086235904687,1.1490061607492361
0.1,0.2,0.11,65,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,65,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,65,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,65,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,65,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,65,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.11,80,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,35,40000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,35,120000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,35,200000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,35,280000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,35,360000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,35,440000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.16000000000000003,50,40000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,50,120000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,50,200000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,50,280000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,50,360000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,50,440000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.16000000000000003,65,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,65,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,65,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,65,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,65,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,65,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,40000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,120000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,200000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,280000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,360000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.16000000000000003,80,440000,False,Positive directional derivative for linesearch,,,,
0.1,0.2,0.21000000000000002,35,40000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,35,120000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,35,200000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,35,280000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,35,360000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,35,440000,True,,"[1.00000000e-01 1.14678460e-01 1.38228300e-01 2.00000000e-01
 1.61771700e-01 1.50662410e-01 3.28450542e-17 8.53215396e-02
 4.93375896e-02 1.76436892e-16]",0.12640157792928447,0.10936773787719341,1.1535312891751253
0.1,0.2,0.21000000000000002,50,40000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.21000000000000002,50,120000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
0.1,0.2,0.21000000000000002,50,200000,True,,"[1.00000000e-01 1.24664346e-01 1.53542811e-01 1.81554646e-01
 1.55279094e-01 1.54120064e-01 9.62344909e-03 7.53356543e-02
 4.58799361e-02 3.35754389e-17]",0.12572642199614034,0.10921083808390673,1.1490063984134302
